iter	MAE	RMSE
507	0.1509624968	0.1967492166
508	0.1509361622	0.1967194834
509	0.150902399	0.196681612
510	0.1508786627	0.1966520577
511	0.1508525141	0.1966197375
512	0.1508230237	0.1965841203
513	0.150801342	0.1965577773
514	0.1507353299	0.1964777226
515	0.1506984905	0.1964423551
516	0.1506916106	0.1964347871
517	0.1506403349	0.1963727138
518	0.1506193388	0.1963507189
519	0.1505956863	0.1963220261
520	0.1505785337	0.1963029393
521	0.1505592882	0.1962821307
522	0.1505119921	0.1962240144
523	0.1504741975	0.1961804015
524	0.1504606424	0.196163792
525	0.1504097249	0.1961051574
526	0.1503895624	0.196076402
527	0.1503751442	0.1960621137
528	0.1503353969	0.1960131681
529	0.1503075827	0.1959779637
530	0.1502947828	0.1959636718
531	0.1502642951	0.195922536
532	0.1502461367	0.1959010837
533	0.150220292	0.1958718267
534	0.1501963481	0.1958376714
535	0.1501710499	0.1958059091
536	0.1501602316	0.1957952649
537	0.1501455873	0.1957744223
538	0.15010325	0.1957289703
539	0.1500803227	0.195703264
540	0.150077827	0.1957007118
541	0.1500393747	0.1956546898
542	0.1500185735	0.1956283004
543	0.1499911201	0.1955960965
544	0.1499695593	0.1955689132
545	0.1499484287	0.195542457
546	0.1499270488	0.1955146126
547	0.1498756148	0.1954452764
548	0.1498552997	0.1954224092
549	0.1498299794	0.1953967991
550	0.149805349	0.195367107
551	0.1497785982	0.1953347041
552	0.1497758639	0.1953320637
553	0.1497693256	0.195326253
554	0.1497448046	0.1952945844
555	0.1497282339	0.1952736174
556	0.1497126472	0.1952539032
557	0.1496523684	0.1951822482
558	0.1496229978	0.1951490316
559	0.1495964797	0.1951183481
560	0.1495709341	0.1950859162
561	0.1495377291	0.1950438206
562	0.1495213091	0.1950256041
563	0.1495178514	0.1950218309
564	0.1495023757	0.1949992348
565	0.149480695	0.1949747934
566	0.1494439315	0.1949271981
567	0.1494241949	0.1949012359
568	0.1494071798	0.1948823168
569	0.1493859491	0.1948587712
570	0.1493672242	0.1948390551
571	0.1493656988	0.1948373998
572	0.1493434755	0.1948125825
573	0.1493150592	0.1947798926
574	0.1492913833	0.1947539213
575	0.1492664106	0.1947281911
576	0.1492298647	0.1946831336
577	0.1492118901	0.1946643
578	0.1491837068	0.1946316689
579	0.1491620511	0.1946064473
580	0.149128456	0.1945655132
581	0.1491148615	0.1945476269
582	0.1490495793	0.1944636652
583	0.1490192913	0.1944329666
584	0.1489939401	0.1944000566
585	0.1489726272	0.194376875
586	0.1489505517	0.1943534408
587	0.1489346126	0.1943299983
588	0.1489089383	0.1942969779
589	0.1488844887	0.1942643648
590	0.1488523875	0.1942186347
591	0.1488356121	0.194197659
